Product_id;sht_id;hersteller_produkt_nummer;bild_name_wurzel;anzahl_von_bilder;marke;produkt_name;detaillierte_beschreibung;zusammengefaste_beschreibung;produkt_merkmale;services;dokumente;hersteller_produkt_url;gewicht;Farbe;kategorie;reuter_megabad_aktion;reuter_megabad_preis;preis;gc_ek
16;K234000KT;Keramag_iConBidet_234000600;Keramag_iConBidet_1;1;Keramag;Keramag iCon Bidet;Keramag iCon Bidet, wandhŠngend, fŸr Einlocharmaturen mit flexiblen AnschlussschlŠuchen, aus Keravit (SanitŠrporzellan);für Einlocharmatur mit flexiblen Anschlussschläuchen;Wandbidet;NULL;NULL;Keramag_iConBidet_http://www.keramag.de/produkte/wcs-bidets-urinale/bidets/icon-bidet-wandhangend/5630/;16;weiß;Bidet;221,75;586,8;489,0;NULL
17;O27950;Laufen_ProBadewanne_2279500000401;Laufen_ProBadewanne_1;1;Laufen;Laufen Pro Badewanne;Laufen Pro Körperform-Einbau-Badewanne 180 x 80 cm, aus Stahl, 3,5 mm, mit 2 Rückenschrägen, Nutzinhalt: 194 l, Ablauf mittig Ø: 5,2 cm;Badewanne, Stahl-Email 3,5 mm, Ablauf mittig, mit Anti-Noise-Pads;Rechteckbadewanne;NULL;NULL;Laufen_ProBadewanne_http://www.de.laufen.com/de/products/product-finder/badewannen/badewanne/laufen-pro/227950;58;weiß;NULL;486,09;1012,69;308,0;NULL
18;IST9637;IdealStandart_CalcitAcrylWanneAsym_T963701;IdealStandart_CalcitAcrylWanneAsym_1;2;Ideal Standart;Ideal Standart Connect Playa Dusch-Badewanne;Connect - Playa Dusch-Badewanne asymmetrisch links, glasfaserverstärkter Außenmantel, einlaminierte Verstärkung des Wannenrandes und des Bodenbereiches, Einbau durch Unter- bzw. Abmauerung, Wannenfüße oder Wannenträge;Asymmetrisch links, Glasfaserverstärkter Außenmantel, einlaminierte Verstärkung des Wannenrandes und des Bodenbereiches. DIN 198. Wasserinhalt bis Überlauf 267 Liter;Dusch-Badewanne;NULL;NULL;IdealStandart_CalcitAcrylWanneAsym_http://www.idealstandard.at/de/products/2/pe_8096.html;30;weiß;NULL;486,09;1012,69;588,3;NULL
19;ISE3067;IdealStandart_DEABadewanneFreistehend_E306701;IdealStandart_DEABadewanneFreistehend_1;3;Ideal Standart;Ideal Standart Dea freistehende Badewanne;IS Badewanne DEA, freistehend, 1800x800x475/610mm, Weiß, Körperform-Badewanne freistehend aus Sanitär-Acryl. Gefertigt nach DIN 14516. Glasfaserverstärkter Außenmantel. Einlaminierte Verstärkung des Bodenbereiches. Ablaufloch Durchmesser 52 mm. Inklusive Fußgestell zum Aufbau auf dem fertig gefliesten Fußboden. Mit vormontierter Ablaufgarnitur. Norm: DIN EN 14516, DIN EN 232, DIN EN 198;aus Sanitär-Acryl, inkl. Fußgestell zum Aufbau auf dem fertig gefliesten Fußboden, mit vormontierter Ablaufgarnitur;Freistehende Badewanne;NULL;NULL;IdealStandart_DEABadewanneFreistehend_http://www.idealstandard.at/de/products/2/pe_8922.html;40;weiß;NULL;1340,86;2914,91;2449,5;NULL
20;K657300;Keramag_RenovaNr.1Eckwanne_657300000;Keramag_RenovaNr.1Eckwanne_1;1;Keramag;Keramag Renova Nr.1 Eckwanne;Auch Dusch- und Badewannen in unterschiedlichen Größen und Formen gehören zum Produktprogramm von Renova Nr. 1. Für grenzenlose Gestaltungsvielfalt. Eck-Badewanne mit integrierter, oberer Sitzfläche, Material: Sanitär-Acryl, Größe: 1350 x 1350 mm (Schenkellänge), Tiefe: 440 mm, Nutzinhalt: 155 Liter, Ab- und Überlauf 52 mm mittig vorne, Wanneninnenmaß (oben): 1590 x 725 mm, Bodenmaß innen: 980 x 510 mm, Höhe Wannenrand: 35 mm, Tiefe (Ecke bis Vorderkante): 1460 mm, Breite (vorne): 1900 mm, Fabrikat: Keramag, Modell: Renova Nr. 1;Keramag Renova Nr.1 Eck-Badewanne, Schenkellänge:135 cm, Tiefe: 44 cm, Material: Sanitär-Acryl;Eck-Badewanne;NULL;NULL;Keramag_RenovaNr.1Eckwanne_http://www.keramag.de/produkte/badewannen/eck-und-asymmetrische-eckwannen/renova-nr-1-eckwanne-schenkellange-1350-mm/6057/;25;weiß;NULL;342,76;622,8;519,0;NULL
21;KERATP5008018;Kermi_AteaViertelkr.Duschkabine_ATP5008018VAK;Kermi_AteaViertelkr.Duschkabine_1;4;Kermi;Kermi Atea Viertelkreis Duschkabine;Teilgerahmte Viertelkreis-Duschkabine mit zwei Glasflügeln, nach innen und außen öffnend, mit zwei Festfeldern. Mit universellen Stabilisierungen (innen und außen). Verglasung 6 mm Einscheiben-Sicherheitsglas nach DIN EN 12150, Profile aus hochwertigem eloxiertem Aluminium, Griffe aus hochwertigem Metall. Verstellmöglichkeit im Wandprofil 25 mm. Türprofile mit Hebe-Senk-Mechanismus, Durchgehende Magnetleisten und Dichtprofile, waagerechte Dichtleiste in Dachrinnenform. Mit Bodenschwelle (Höhe 6 mm), oder ohne Bodenschwelle (bodenfrei) installierbar. Made in Germany.;für gleichschenkelige Wannen, Einbaumöglichkeiten: Ecke, U-Kabine (auf Anfrage);Viertelkreisdusche;NULL;NULL;NULL;NULL;transparent/silber;NULL;1446,34;2332,8;1944,0;NULL
22;KERI2B35080;Kermi_Ibiza2000Fünfeckduschkabine_I2B35080181AK;Kermi_Ibiza2000Fünfeckduschkabine_1;3;Kermi;Kermi Ibiza 2000 Fünfeckduschkabine;Teilgerahmte Fünfeck-Duschkabine mit zwei Glasflügeln, nach innen und außen öffnend, mit zwei Festfeldern. Mit Stabilisierung (innen). Verglasung Festfelder mit 6 mm, Pendeltüren mit 4 mm Einscheiben-Sicherheitsglas nach DIN EN 12150, Profile aus hochwertigem eloxiertem Aluminium, Griffe aus hochwertigem Kunststoff. Verstellmöglichkeit im Wandprofil 17 mm. Türprofile mit Hebe-Senk-Mechanismus. Durchgehende Magnetleisten und Dichtprofile. Mit Bodenschwelle (Höhe 16 mm). Installation immer mit Bodenschwelle. Made in Germany.;Kermi Ibiza 2000 Fünfeck, Pendeltüren mit Festfeldern ESG transparent / silber mattglanz;Fünfeckduschkabine;NULL;NULL;NULL;NULL;transparent/silber;NULL;1963,92;1716;1430,0;NULL
23;KERI2O2008.2W;Kermi_Ibiza2000Rundduschkabine_I2O20080202AK;Kermi_Ibiza2000Rundduschkabine_1;3;Kermi;Kermi Ibiza 2000 Rundduschkabine;Teilgerahmte Viertelkreis-Duschkabine mit zwei Glasflügeln, nach innen und außen öffnend, mit zwei Festfeldern. Mit Stabilisierung (innen). Verglasung Festfelder mit 6 mm, Pendeltüren mit 4 mm Einscheiben-Sicherheitsglas nach DIN EN 12150, Profile aus hochwertigem eloxiertem Aluminium, Griffe aus hochwertigem Kunststoff. Verstellmöglichkeit im Wandprofil 17 mm. Türprofile mit Hebe-Senk-Mechanismus. Durchgehende Magnetleisten und Dichtprofile. Mit Bodenschwelle (Höhe 16 mm). Installation immer mit Bodenschwelle. Made in Germany.;Kermi Ibiza 2000 Viertelkreis, Pendeltüren mit Festfeldern ESG transparent / silber mattglanz ;Rundduschkabine;NULL;NULL;NULL;NULL;transparent/silber;NULL;1521,48;2454;2526,0;NULL
24;G23127;Grohe_EurocubeEinhand-Waschtischbatterie_23127000;Grohe_EurocubeEinhand-Waschtischbatterie_1;5;Grohe;Grohe Eurocube Einhand-Waschtisch;Leichtgängige 28 mm Keramikkartusche (GROHE SilkMove®), Langlebige Chromoberfläche, einfach zu reinigen (GROHE StarLight®), Mit Temperaturbegrenzer, Zugstangen-Ablaufgarnitur zum einfachen Öffnen und Schließen des Beckens, Flexible Anschlussschläuche, Inklusive Schnellmontage-System (GROHE QuickFix® Plus);"Mousseur, Zugstangen-Ablaufgarnitur 5/4"", flexible Anschlussschläuche, Temperaturbegrenzer";Einhebel-Mischer;NULL;NULL;NULL;NULL;chrom;NULL;309,48;117,28;253,7;82,22
25;HG31607;Hansgrohe_FocusEinhebel-Waschtischmischer_31607000;Hansgrohe_FocusEinhebel-Waschtischmischer_1;1;Hansgrohe;Hansgrohe Focus Einhebel-Waschtischmischer 100;ComfortZone 100, Zugstangen-Ablaufgarnitur G 1 1/4, Keramikmischsystem, Boltic Griffverriegelung, Temperaturbegrenzung individuell einstellbar, Durchflussbegrenzer 5 l/min, QuickClean Luftsprudler;Hansgrohe Focus Einhebel-Waschtischmischer 100 mit Ablaufgarnitur;Einhebel-Mischer;NULL;NULL;NULL;NULL;chrom;NULL;64,7;183,12;152,6;58,5
